,text,directed_at,emotion
0,"['3g', 'iphon', '3', 'hr', 'tweet', 'dead', 'need', 'upgrad', 'plugin', 'station']",iPhone,Negative emotion
1,"['know', 'awesom', 'ipadiphon', 'app', 'youll', 'like', 'appreci', 'design', 'also', 'theyr', 'give', 'free', 't']",iPad or iPhone App,Positive emotion
2,"['wait', '2', 'also', 'sale']",iPad,Positive emotion
3,"['hope', 'year', 'festiv', 'isnt', 'crashi', 'year', 'iphon', 'app']",iPad or iPhone App,Negative emotion
4,"['great', 'stuff', 'fri', 'marissa', 'mayer', 'googl', 'tim', 'oreilli', 'tech', 'booksconfer', 'amp', 'matt', 'mullenweg', 'wordpress']",Google,Positive emotion
5,"['new', 'ipad', 'app', 'communic', 'showcas', 'confer']",,No emotion toward brand or product
7,"['start', 'around', 'corner', 'hop', 'skip', 'jump', 'good', 'time', 'fan']",Android,Positive emotion
8,"['beauti', 'smart', 'simpl', 'idea', 'rt', 'wrote', 'ipad', 'app']",iPad or iPhone App,Positive emotion
9,"['count', 'day', 'plus', 'strong', 'canadian', 'dollar', 'mean', 'stock', 'appl', 'gear']",Apple,Positive emotion
10,"['excit', 'meet', 'show', 'sprint', 'galaxi', 'still', 'run', 'android', '21']",Android,Positive emotion
11,"['find', 'amp', 'start', 'impromptu', 'parti', 'cant', 'wait', 'til', 'android', 'app', 'come']",Android App,Positive emotion
12,"['foursquar', 'up', 'game', 'time', 'still', 'prefer', 'far', 'best', 'look', 'android', 'app', 'date']",Android App,Positive emotion
13,"['got', 'ta', 'love', 'googl', 'calendar', 'featur', 'top', 'parti', 'show', 'case', 'check', 'rt', 'via', 'gt']",Other Google product or service,Positive emotion
14,"['great', 'ipad', 'app']",iPad or iPhone App,Positive emotion
15,"['haha', 'awesom', 'rad', 'ipad', 'app']",iPad or iPhone App,Positive emotion
16,"['holler', 'gram', 'ipad', 'itun', 'app', 'store', 'via']",,No emotion toward brand or product
17,"['notic', 'dst', 'come', 'weekend', 'mani', 'iphon', 'user', 'hour', 'late', 'sxsw', 'come', 'sunday', 'morn']",iPhone,Negative emotion
18,"['ad', 'flight', 'match', 'peopl', 'planesairport', 'also', 'download', 'iphon', 'app', 'nice', 'done']",iPad or iPhone App,Positive emotion
19,"['must', 'app', 'rt', 'love', 'review', 'forb', 'sxsw', 'ipad', 'app', 'holler', 'gram']",iPad or iPhone App,Positive emotion
20,"['need', 'buy', 'ipad2', 'im', 'austin', 'sure', 'ill', 'need', 'q', 'austin', 'appl', 'store']",iPad,Positive emotion
21,"['oh', 'god', 'app', 'ipad', 'pure', 'unadulter', 'awesom', 'easier', 'brows', 'event', 'ipad', 'websit']",iPad or iPhone App,Positive emotion
22,"['okay', 'realli', 'yay', 'new', 'app11', 'kthxbai']",Android App,Positive emotion
23,"['photo', 'instal', 'iphon', 'app', 'realli', 'nice']",iPad or iPhone App,Positive emotion
24,"['realli', 'enjoy', 'chang', 'gowalla', '30', 'android', 'look', 'forward', 'see', 'els', 'amp', 'foursquar', 'sleev']",Android App,Positive emotion
25,"['rt', 'im', 'look', 'forward', 'pre', 'parti', 'wed', 'hope', 'ill', 'win', 'result', 'shameless', 'promot']",iPad,Positive emotion
26,"['rt', 'haha', 'awesom', 'rad', 'ipad', 'app', 'via']",iPad or iPhone App,Positive emotion
27,"['someon', 'start', 'group', 'googl', 'group', 'pre', 'great', 'idea']",Other Google product or service,Positive emotion
28,"['new', 'look', 'like', 'go', 'rock', 'updat', 'iphon', 'android', 'push', 'tonight']",iPad or iPhone App,Positive emotion
29,"['right', '3', 'app', 'sweeeeet', 'nice', 'job', 'team']",Android App,Positive emotion
30,"['smart', 'ipad', 'app', 'may', 'leav', 'vuvuzela', 'home']",iPad or iPhone App,Positive emotion
31,"['must', 'app', 'ipad', 'go']",iPad or iPhone App,Positive emotion
32,"['attn', 'frine', 'regist', 'see', 'cobra', 'iradar', 'android', 'link']",,No emotion toward brand or product
33,"['anyon', 'want', 'sell', 'old', 'ipad']",,No emotion toward brand or product
34,"['anyon', 'bought', 'new', 'ipad', 'want', 'sell', 'older', 'ipad']",,No emotion toward brand or product
35,"['oooh', 'rt', 'googl', 'launch', 'major', 'new', 'social', 'network', 'call', 'circl', 'possibl', 'today', 'link']",,No emotion toward brand or product
36,"['best', 'rt', 'ha', 'first', 'line', 'quotpopupquot', 'appl', 'store', 'event', 'planner']",iPad,Positive emotion
37,"['spin', 'play', 'new', 'concept', 'music', 'discoveri', 'ipad', 'amp', 'spincom', 'link']",,No emotion toward brand or product
38,"['fals', 'alarm', 'googl', 'circl', 'come', 'now���and', 'probabl', 'ever', 'link']",Google,Negative emotion
39,"['vatornew', 'googl', 'appl', 'forc', 'print', 'medium', 'evolv', 'link']",,No emotion toward brand or product
40,"['great', 'weather', 'greet', 'still', 'need', 'sweater', 'nightappl', 'put', 'quotflash', 'storequot', 'downtown', 'sell', 'ipad2']",Apple,Positive emotion
41,"['hootsuit', 'hootsuit', 'mobil', 'updat', 'iphon', 'blackberri', 'amp', 'android', 'whether', 'you�۪r', 'get', 'friend', 'link']",,No emotion toward brand or product
42,"['hey', 'long', 'think', 'take', 'u', 'make', 'iphon', 'case', 'answer', 'use', 'we�۪ll', 'make', 'one']",,No emotion toward brand or product
43,"['mashabl', 'ipad', '2', 'take', 'sxsw', 'video', 'link']",,No emotion toward brand or product
