,text,directed_at,emotion
0,"['3g', 'iphone', '3', 'hrs', 'tweeting', 'dead', 'need', 'upgrade', 'plugin', 'stations']",iPhone,Negative emotion
1,"['know', 'awesome', 'ipadiphone', 'app', 'youll', 'likely', 'appreciate', 'design', 'also', 'theyre', 'giving', 'free', 'ts']",iPad or iPhone App,Positive emotion
2,"['wait', '2', 'also', 'sale']",iPad,Positive emotion
3,"['hope', 'years', 'festival', 'isnt', 'crashy', 'years', 'iphone', 'app']",iPad or iPhone App,Negative emotion
4,"['great', 'stuff', 'fri', 'marissa', 'mayer', 'google', 'tim', 'oreilly', 'tech', 'booksconferences', 'amp', 'matt', 'mullenweg', 'wordpress']",Google,Positive emotion
5,"['new', 'ipad', 'apps', 'communication', 'showcased', 'conference']",,No emotion toward brand or product
7,"['starting', 'around', 'corner', 'hop', 'skip', 'jump', 'good', 'time', 'fan']",Android,Positive emotion
8,"['beautifully', 'smart', 'simple', 'idea', 'rt', 'wrote', 'ipad', 'app']",iPad or iPhone App,Positive emotion
9,"['counting', 'days', 'plus', 'strong', 'canadian', 'dollar', 'means', 'stock', 'apple', 'gear']",Apple,Positive emotion
10,"['excited', 'meet', 'show', 'sprint', 'galaxy', 'still', 'running', 'android', '21']",Android,Positive emotion
11,"['find', 'amp', 'start', 'impromptu', 'parties', 'cant', 'wait', 'til', 'android', 'app', 'comes']",Android App,Positive emotion
12,"['foursquare', 'ups', 'game', 'time', 'still', 'prefer', 'far', 'best', 'looking', 'android', 'app', 'date']",Android App,Positive emotion
13,"['got', 'ta', 'love', 'google', 'calendar', 'featuring', 'top', 'parties', 'show', 'cases', 'check', 'rt', 'via', 'gt']",Other Google product or service,Positive emotion
14,"['great', 'ipad', 'app']",iPad or iPhone App,Positive emotion
15,"['haha', 'awesomely', 'rad', 'ipad', 'app']",iPad or iPhone App,Positive emotion
16,"['holler', 'gram', 'ipad', 'itunes', 'app', 'store', 'via']",,No emotion toward brand or product
17,"['noticed', 'dst', 'coming', 'weekend', 'many', 'iphone', 'users', 'hour', 'late', 'sxsw', 'come', 'sunday', 'morning']",iPhone,Negative emotion
18,"['added', 'flights', 'matching', 'people', 'planesairports', 'also', 'downloaded', 'iphone', 'app', 'nicely', 'done']",iPad or iPhone App,Positive emotion
19,"['must', 'app', 'rt', 'lovely', 'review', 'forbes', 'sxsw', 'ipad', 'app', 'holler', 'gram']",iPad or iPhone App,Positive emotion
20,"['need', 'buy', 'ipad2', 'im', 'austin', 'sure', 'ill', 'need', 'q', 'austin', 'apple', 'store']",iPad,Positive emotion
21,"['oh', 'god', 'app', 'ipad', 'pure', 'unadulterated', 'awesome', 'easier', 'browse', 'events', 'ipad', 'website']",iPad or iPhone App,Positive emotion
22,"['okay', 'really', 'yay', 'new', 'app11', 'kthxbai']",Android App,Positive emotion
23,"['photo', 'installed', 'iphone', 'app', 'really', 'nice']",iPad or iPhone App,Positive emotion
24,"['really', 'enjoying', 'changes', 'gowalla', '30', 'android', 'looking', 'forward', 'seeing', 'else', 'amp', 'foursquare', 'sleeves']",Android App,Positive emotion
25,"['rt', 'im', 'looking', 'forward', 'pre', 'party', 'wed', 'hoping', 'ill', 'win', 'resulting', 'shameless', 'promotion']",iPad,Positive emotion
26,"['rt', 'haha', 'awesomely', 'rad', 'ipad', 'app', 'via']",iPad or iPhone App,Positive emotion
27,"['someone', 'started', 'group', 'google', 'groups', 'pre', 'great', 'idea']",Other Google product or service,Positive emotion
28,"['new', 'looks', 'like', 'going', 'rock', 'update', 'iphone', 'android', 'push', 'tonight']",iPad or iPhone App,Positive emotion
29,"['right', '3', 'app', 'sweeeeet', 'nice', 'job', 'team']",Android App,Positive emotion
30,"['smart', 'ipad', 'app', 'may', 'leave', 'vuvuzela', 'home']",iPad or iPhone App,Positive emotion
31,"['must', 'app', 'ipad', 'going']",iPad or iPhone App,Positive emotion
32,"['attn', 'frineds', 'register', 'see', 'cobra', 'iradar', 'android', 'link']",,No emotion toward brand or product
33,"['anyone', 'want', 'sell', 'old', 'ipad']",,No emotion toward brand or product
34,"['anyone', 'bought', 'new', 'ipad', 'want', 'sell', 'older', 'ipad']",,No emotion toward brand or product
35,"['oooh', 'rt', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circles', 'possibly', 'today', 'link']",,No emotion toward brand or product
36,"['best', 'rt', 'ha', 'first', 'line', 'quotpopupquot', 'apple', 'store', 'event', 'planner']",iPad,Positive emotion
37,"['spin', 'play', 'new', 'concept', 'music', 'discovery', 'ipad', 'amp', 'spincom', 'link']",,No emotion toward brand or product
38,"['false', 'alarm', 'google', 'circles', 'coming', 'now���and', 'probably', 'ever', 'link']",Google,Negative emotion
39,"['vatornews', 'google', 'apple', 'force', 'print', 'media', 'evolve', 'link']",,No emotion toward brand or product
40,"['great', 'weather', 'greet', 'still', 'need', 'sweater', 'nightapple', 'putting', 'quotflash', 'storequot', 'downtown', 'sell', 'ipad2']",Apple,Positive emotion
41,"['hootsuite', 'hootsuite', 'mobile', 'updates', 'iphone', 'blackberry', 'amp', 'android', 'whether', 'you�۪re', 'getting', 'friend', 'link']",,No emotion toward brand or product
42,"['hey', 'long', 'think', 'takes', 'us', 'make', 'iphone', 'case', 'answer', 'using', 'we�۪ll', 'make', 'one']",,No emotion toward brand or product
43,"['mashable', 'ipad', '2', 'takes', 'sxsw', 'video', 'link']",,No emotion toward brand or product
44,"['ipad', 'rt', 'new', 'app', 'store', 'includes', 'uberguide', 'sponsored', 'link']",,No emotion toward brand or product
45,"['handheld', '���hobo�۪', 'drafthouse', 'launches', '���hobo', 'shotgun�۪', 'iphone', 'app', 'link']",,Positive emotion
46,"['hooray', 'rt', '���', 'apple', 'opening', 'popup', 'store', 'austin', 'link']",Apple,Positive emotion
47,"['orly', '���', 'google', 'set', 'launch', 'new', 'social', 'network', 'today']",,No emotion toward brand or product
48,"['wooooo', '���', 'apple', 'store', 'downtown', 'austin', 'open', 'til', 'midnight']",Apple,Positive emotion
49,"['khoi', 'vinh', 'says', 'conde', 'nasts', 'headlong', 'rush', 'ipad', 'publishing', 'quotfundamental', 'misunderstandingquot', 'platform']",,No emotion toward brand or product
50,"['���', 'link', 'lt', 'help', 'forward', 'doc', 'anonymous', 'accounts', 'techiesamp', 'ppl', 'help', 'us', 'jam']",,No emotion toward brand or product
51,"['���', '��', 'link', '��']",,No emotion toward brand or product
52,"['locationbased', 'fast', 'fun', 'future', 'link', 'via']",,No emotion toward brand or product
53,"['���', 'connect', 'digital', 'amp', 'physical', 'worlds', 'mobile', 'link']",,No emotion toward brand or product
54,"['���', 'talking', 'link', 'googles', 'effort', 'allow', 'users', 'open', 'systems']",Google,Positive emotion
55,"['link', 'rt', 'quotgoogle', 'tweetquot', 'new', 'quotthink', 'speakquot', 'mark', 'belinsky', 'panel']",,No emotion toward brand or product
56,"['link', 'rt', '1st', 'stop', 'amp', 'hunt', 'austin', 'java', 'get', 'spy', 'game', '4', 'chance', '2', 'win', 'ipad']",iPad,Positive emotion
57,"['link', 'rt', 'check', 'holler', 'gram', 'ipad', 'app', 'link']",,No emotion toward brand or product
58,"['amp', 'fun', 'pic', 'link']",,No emotion toward brand or product
59,"['quotvia', 'link', 'guy', 'kawasaki', 'talks', 'enchanted', 'sxsw', 'knows', 'stuff', 'quot']",,No emotion toward brand or product
60,"['link', 'spec', 'recipes', 'web', 'google', 'search', 'link']",,No emotion toward brand or product
61,"['rt', 'think', 'apples', 'quotpopup', 'storequot', 'austin', 'would', 'lot', 'interesting', 'actually', 'know', 'popped']",Apple,No emotion toward brand or product
62,"['rt', 'line', 'apple', 'store', 'insane']",,Negative emotion
63,"['agree', 'rt', 'wait', 'fiona', 'apple', 'town', 'somebody', 'kidnap', 'put', 'recording', 'studio', 'records', 'new', 'album']",,No emotion toward brand or product
64,"['wan', 'na', 'buy', 'drink', '7pm', 'fado', '4th', 'link', 'join', 'us']",,No emotion toward brand or product
65,"['attending', 'ipad', 'design', 'headaches', 'link']",iPad,Negative emotion
66,"['boooo', 'rt', 'flipboard', 'developing', 'iphone', 'version', 'android', 'says']",,Negative emotion
67,"['check', 'amp', 'line', 'ipad', '2', 'austin', 'power', 'link']",iPad,Positive emotion
68,"['check', 'rt', 'giving', 'added', 'value', 'location', 'based', 'services', 'needs', 'battle', 'checkin', 'fatigue']",,No emotion toward brand or product
69,"['chilcott', 'stand', 'talking', 'blogger', 'staff', 'late', 'win', 'competition', 'best', 'tweet', 'mentioning', 'tshirt']",,No emotion toward brand or product
70,"['rt', 'come', 'party', 'w', 'google', 'tonight', 'link', 'bands', 'food', 'art', 'ice', 'cream', 'nifty', 'interactive', 'maps']",Google,Positive emotion
71,"['gowallas', 'promises', 'launch', 'foursquare', 'checkin', 'groupon', 'rewardstype', 'service', 'fingers', 'crossed', 'link']",,No emotion toward brand or product
72,"['haha', 'rt', 'news', 'yahoocom', 'loosing', 'search', 'traffic', 'new', 'site', 'googlecom', 'doubt', 'last', 'tho', 'w', 'weird', 'name']",,No emotion toward brand or product
